"x"	"y"
0	1.12808174293961
0.2	0.841803196147913
0.4	2.72542311921697
0.6	3.40988193300223
0.8	2.5142768723515
1	2.25138895415127
1.2	7.82432527826052
1.4	4.87412817933588
1.6	2.92264333105922
1.8	6.81282310798983
2	12.5628570011409
2.2	5.06104934265363
2.4	16.6328726033708
2.6	12.5845096281916
2.8	11.7801879636715
3	17.294002598726
3.2	20.1237757299174
3.4	30.7127801829556
3.6	45.6757954963974
3.8	66.9863003577635
4	56.6013993435204
4.2	31.668405247249
4.4	173.789817363705
4.6	204.439898849973
4.8	149.99773914075
5	262.907021623717
5.2	161.438951090334
5.4	337.770906470257
5.6	273.44459095778
5.8	144.50037197262
6	217.917981338153
6.2	461.105155000227
6.4	837.71873364121
6.6	860.875614404295
6.8	426.153142615556
7	1819.19694235543
7.2	968.886625628172
7.4	1594.37861386685
7.6	1559.72062051164
7.8	4397.54929399283
8	4398.31981170738
8.2	4990.34586444955
8.4	4976.21557164225
8.6	5225.50664216434
8.8	1700.82390063479
9	10299.5790250288
9.2	6244.68008884092
9.4	14766.7437140409
9.6	30596.2394538216
9.8	20932.2399171398
10	17034.2659272688
